,DK,NO,DE,BE,NL,GB
2015-11-01 18:00:00,11175.726654746682,23578.64502401417,287983.0242797236,42317.76366946269,45066.63051900769,112899.33212904287
2015-11-01 19:00:00,10257.418883834778,23116.662971181962,283664.82440318586,42359.31513822854,45390.2066565258,109530.82935925986
2015-11-01 20:00:00,10025.853506726804,22058.085951812696,283203.0394872371,43488.14036949228,45304.945539192464,107102.1715081256
2015-11-01 21:00:00,9460.414646103267,20382.90801740948,284139.340049041,44904.13341516799,44712.30479870961,103940.4068265352
2015-11-01 22:00:00,9002.719135933097,18683.133831206622,279124.1301995312,45200.02366488545,42697.225099013885,99552.89987656761
2015-11-01 23:00:00,9682.750697483722,17649.7206220778,275449.08352231013,44132.757170308396,41010.882689875325,95484.23892469582
2015-11-02 00:00:00,9981.218329443793,17054.193540007593,272993.77439026075,43530.35026988138,39970.598683644756,94112.65942755807
2015-11-02 01:00:00,9890.917948064538,17120.71925612812,278741.17610122886,43948.15941787177,41966.19807701628,95223.53363547065
2015-11-02 02:00:00,9847.796855533,17143.37636360837,283176.775121837,44381.09501716493,40824.506539926995,94244.67020771578
2015-11-02 03:00:00,10238.694704748992,17380.183734649407,290308.10545889544,44012.7705117098,39897.16291497605,94194.637563497
2015-11-02 04:00:00,10562.140706745598,18380.63564864264,300685.91851065576,45236.053474159395,41023.52272964217,95076.84383537235
2015-11-02 05:00:00,10926.761414183527,21310.68298698392,320642.5344264897,47259.92255887577,44218.06179591531,99188.66759338143
2015-11-02 06:00:00,11443.556226485689,23946.503931014064,325105.2208732702,49019.58342369854,49686.9573510108,106798.48602676965
2015-11-02 07:00:00,11417.847461812602,23276.248226319396,260208.84470431381,40138.34459411407,38408.11951928517,115656.37230474094
2015-11-02 08:00:00,10604.405096446912,22126.002963553237,293525.3479649296,44562.983193697524,48026.07590021759,108819.50323706502
2015-11-02 09:00:00,10942.957176156417,21023.90717006408,304310.3056609462,54295.33346912899,55683.05916636812,111697.38525068706
2015-11-02 10:00:00,27164.659023889108,20064.90352883737,302099.9373543144,46641.57706390154,57320.544891139856,115408.6915393091
2015-11-02 11:00:00,26816.63673914907,20175.6108378332,293284.1092298671,40897.774692166444,56504.53231320538,118597.39387679794
2015-11-02 12:00:00,23867.696746290603,20727.991805862977,270387.47335343336,39949.63356238422,51257.83179748243,120859.46020449312
2015-11-02 13:00:00,11501.463920489434,20926.95926037735,253022.38574811074,43935.87628367838,43592.12147695273,119010.62439664069
2015-11-02 14:00:00,11965.324778760645,22393.131412670107,213161.47285056036,35372.339318886865,33830.27105156637,110325.81462816185
2015-11-02 15:00:00,12589.579968237846,23985.38608342394,227877.02447139675,24778.168165950752,32723.060356915266,95466.03191368219
2015-11-02 16:00:00,13766.775973278956,24785.87866517672,323287.86401089735,44570.58483511089,45905.05436534308,119955.80012477914
2015-11-02 17:00:00,13415.487521731615,24954.926082949707,330129.1982145347,48993.75196408675,46905.88076380548,134612.8183190565
2015-11-02 18:00:00,13370.132180641676,24734.954267962003,331668.43702900223,49926.01449787926,49521.47928512442,133047.12105176825
2015-11-02 19:00:00,13495.7816364746,24313.063313494902,325311.0919401167,49756.55339220038,49216.44141013411,126081.25227114582
2015-11-02 20:00:00,12727.311353528738,24398.91711256613,315745.9725349188,48789.72953068571,46146.35088181893,120948.18419727136
2015-11-02 21:00:00,11532.141226064465,23882.977331225466,308742.1643823637,49250.823013167945,44066.47309697299,114310.14737270596
2015-11-02 22:00:00,10637.62528598113,23076.564359403947,298858.64700969646,48364.02764808596,42555.51610945144,105068.96956967689
2015-11-02 23:00:00,10046.139169650944,22731.7085101509,294203.3421549687,45738.03684229727,40757.70799089483,97176.58747230517
2015-11-03 00:00:00,10476.779941909415,22523.36367583373,295722.41952729167,45922.82817618395,42395.42222674342,99988.97083319894
2015-11-03 01:00:00,10656.558787010064,22503.995865807236,300488.9063718467,44797.75630849892,42675.28970347703,100099.92140868821
2015-11-03 02:00:00,10854.303359261758,22742.870459369125,303650.63210702396,42012.60029520882,42155.628851453424,97480.424399325
2015-11-03 03:00:00,10958.49975127514,22900.208064356648,309577.2408996089,43475.62284337082,42734.60537721043,100291.78057261829
2015-11-03 04:00:00,11391.833053499166,23300.440261032276,318290.21817851765,44381.58118779355,44635.881598448876,102976.87465298225
2015-11-03 05:00:00,12626.226959534237,25113.08913586247,336621.8459086376,46546.31262971353,48044.530875246826,110042.37041100686
2015-11-03 06:00:00,13910.713538812226,26947.07906535414,341280.35690578097,46874.17299151482,52355.26481105674,127282.91813797699
2015-11-03 07:00:00,16992.44079626609,26850.47026519185,282855.6025037957,38438.4999020399,42848.82660760872,140938.02786884914
2015-11-03 08:00:00,15800.084946757504,26343.99312175494,333139.35545212415,43639.618040487665,52915.090959825524,130663.7013291031
2015-11-03 09:00:00,17298.283188590438,25994.100095582973,320731.12806882,53808.56947250113,58557.57967442254,114144.01309544416
2015-11-03 10:00:00,21402.51733565915,25619.60361214357,306022.6010919134,46729.155898278164,60049.079087736325,117941.14092051143
2015-11-03 11:00:00,20578.524862983602,27943.869072541256,290453.62688381894,45112.34517912219,57149.93069227866,118506.59472207383
2015-11-03 12:00:00,17911.516589446426,25078.796298683068,258930.01815525297,43879.753353226304,46843.884991362254,108418.72013221939
2015-11-03 13:00:00,15840.397178008458,25296.16735535307,265175.1527818233,32466.709563055047,40420.10673956132,99695.1640973477
2015-11-03 14:00:00,16820.01653746391,25331.21356840809,203521.48167013848,27839.884859642647,30677.93866983476,110651.70986457406
